Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
03/06/14,walking,walking,2014-06-03T01:46:02+01:00,2014-06-03T02:22:21+01:00,2179,1.729,3044,205
03/06/14,walking,walking,2014-06-03T02:26:12+01:00,2014-06-03T02:27:12+01:00,60,0.025,80,3
03/06/14,walking,walking,2014-06-03T02:28:33+01:00,2014-06-03T02:34:51+01:00,378,0.197,513,23
03/06/14,transport,transport,2014-06-03T02:34:50+01:00,2014-06-03T02:54:17+01:00,1167,3.131,0,0
03/06/14,walking,walking,2014-06-03T02:54:18+01:00,2014-06-03T02:55:19+01:00,61,0.025,81,3
03/06/14,walking,walking,2014-06-03T03:55:46+01:00,2014-06-03T04:08:18+01:00,752,0.444,965,53
03/06/14,walking,walking,2014-06-03T04:08:18+01:00,2014-06-03T04:08:47+01:00,29,0.012,39,1
03/06/14,transport,transport,2014-06-03T04:25:23+01:00,2014-06-03T04:32:01+01:00,398,0.976,0,0
03/06/14,walking,walking,2014-06-03T04:32:01+01:00,2014-06-03T04:34:37+01:00,156,0.092,204,11
03/06/14,walking,walking,2014-06-03T04:34:37+01:00,2014-06-03T04:37:24+01:00,167,0.129,276,15
03/06/14,walking,walking,2014-06-03T12:55:32+01:00,2014-06-03T12:55:46+01:00,14,0.006,18,1
03/06/14,walking,walking,2014-06-03T13:03:15+01:00,2014-06-03T13:03:26+01:00,11,0.004,14,1
03/06/14,walking,walking,2014-06-03T16:26:47+01:00,2014-06-03T16:27:13+01:00,26,0.011,34,1
03/06/14,walking,walking,2014-06-03T17:45:35+01:00,2014-06-03T17:47:03+01:00,88,0.037,117,4
03/06/14,walking,walking,2014-06-03T18:07:48+01:00,2014-06-03T18:08:27+01:00,39,0.019,61,2
03/06/14,transport,transport,2014-06-03T18:12:32+01:00,2014-06-03T18:28:12+01:00,940,2.316,0,0
03/06/14,walking,walking,2014-06-03T18:28:11+01:00,2014-06-03T18:30:52+01:00,161,0.086,161,10
03/06/14,walking,walking,2014-06-03T18:32:06+01:00,2014-06-03T18:36:32+01:00,266,0.178,381,21
03/06/14,walking,walking,2014-06-03T19:17:57+01:00,2014-06-03T19:19:53+01:00,116,0.051,164,6
