Date,Type,Name,Start,End,Duration
24/06/14,move,walking,2014-06-24T13:36:59+01:00,2014-06-24T13:43:53+01:00,414
24/06/14,move,walking,2014-06-24T13:43:52+01:00,2014-06-24T13:44:52+01:00,60
24/06/14,place,Place in Queen Mary (University of London),2014-06-24T13:44:52+01:00,2014-06-24T15:33:39+01:00,6527
24/06/14,move,walking,2014-06-24T15:33:39+01:00,2014-06-24T15:40:27+01:00,408
24/06/14,place,Place in London Borough of Tower Hamlets,2014-06-24T15:40:28+01:00,2014-06-24T15:49:29+01:00,541
24/06/14,move,transport,2014-06-24T15:49:29+01:00,2014-06-24T16:01:51+01:00,742
24/06/14,place,Place in London Congestion Charge,2014-06-24T16:58:13+01:00,2014-06-24T19:49:18+01:00,10265
24/06/14,move,walking,2014-06-24T19:49:18+01:00,2014-06-24T19:52:19+01:00,181
24/06/14,move,transport,2014-06-24T19:52:19+01:00,2014-06-24T19:58:15+01:00,356
24/06/14,place,Place in London Congestion Charge,2014-06-24T19:58:15+01:00,2014-06-24T20:02:06+01:00,231
24/06/14,move,walking,2014-06-24T20:02:06+01:00,2014-06-24T20:04:49+01:00,163
24/06/14,move,transport,2014-06-24T20:04:49+01:00,2014-06-24T20:33:49+01:00,1740
24/06/14,move,walking,2014-06-24T20:33:49+01:00,2014-06-24T20:36:39+01:00,170
24/06/14,move,transport,2014-06-24T20:36:39+01:00,2014-06-24T20:40:09+01:00,210
24/06/14,move,walking,2014-06-24T20:40:09+01:00,2014-06-24T20:43:23+01:00,194
24/06/14,move,walking,2014-06-24T20:43:23+01:00,2014-06-24T20:45:23+01:00,120
24/06/14,place,Place in London Borough of Enfield,2014-06-24T20:45:23+01:00,2014-06-25T00:00:00+01:00,11677
25/06/14,place,Place in London Borough of Enfield,2014-06-25T00:00:00+01:00,2014-06-25T10:46:29+01:00,38789
25/06/14,place,Place in London Borough of Enfield,2014-06-25T11:15:06+01:00,2014-06-26T00:00:00+01:00,45894
26/06/14,place,Place in London Borough of Enfield,2014-06-26T00:00:00+01:00,2014-06-26T07:39:28+01:00,27568
26/06/14,place,Place in London Borough of Enfield,2014-06-26T12:36:21+01:00,2014-06-27T00:00:00+01:00,41019
27/06/14,place,Place in London Borough of Enfield,2014-06-27T00:00:00+01:00,2014-06-27T05:05:57+01:00,18357
27/06/14,move,transport,2014-06-27T06:39:56+01:00,2014-06-27T06:59:57+01:00,1201
27/06/14,move,walking,2014-06-27T06:59:57+01:00,2014-06-27T07:07:18+01:00,441
27/06/14,place,Place in London Congestion Charge,2014-06-27T07:07:18+01:00,2014-06-27T08:04:45+01:00,3447
27/06/14,move,walking,2014-06-27T08:04:45+01:00,2014-06-27T08:16:42+01:00,717
27/06/14,move,walking,2014-06-27T08:26:00+01:00,2014-06-27T08:31:21+01:00,321
27/06/14,place,Place in London Congestion Charge,2014-06-27T08:31:21+01:00,2014-06-27T11:25:30+01:00,10449
27/06/14,move,walking,2014-06-27T11:25:30+01:00,2014-06-27T11:42:14+01:00,1004
27/06/14,place,Place in London Congestion Charge,2014-06-27T11:42:14+01:00,2014-06-27T12:41:17+01:00,3543
27/06/14,move,walking,2014-06-27T12:41:17+01:00,2014-06-27T12:54:12+01:00,775
27/06/14,place,Place in London Congestion Charge,2014-06-27T12:54:12+01:00,2014-06-27T13:34:46+01:00,2434
27/06/14,move,walking,2014-06-27T13:34:46+01:00,2014-06-27T13:50:52+01:00,966
27/06/14,place,Place in London Congestion Charge,2014-06-27T13:50:51+01:00,2014-06-27T14:52:09+01:00,3678
27/06/14,move,walking,2014-06-27T14:52:09+01:00,2014-06-27T14:59:42+01:00,453
27/06/14,place,Place in London Congestion Charge,2014-06-27T14:59:43+01:00,2014-06-27T19:30:40+01:00,16257
27/06/14,move,walking,2014-06-27T19:30:40+01:00,2014-06-27T19:39:13+01:00,513
27/06/14,move,transport,2014-06-27T19:39:13+01:00,2014-06-27T19:44:13+01:00,300
27/06/14,move,walking,2014-06-27T19:44:13+01:00,2014-06-27T19:48:26+01:00,253
27/06/14,place,Place in London Congestion Charge,2014-06-27T19:48:26+01:00,2014-06-27T19:59:55+01:00,689
27/06/14,place,Place in London Congestion Charge,2014-06-27T19:59:56+01:00,2014-06-27T20:13:26+01:00,810
27/06/14,move,transport,2014-06-27T20:13:26+01:00,2014-06-27T20:32:51+01:00,1165
27/06/14,move,walking,2014-06-27T20:32:51+01:00,2014-06-27T20:36:21+01:00,210
27/06/14,move,transport,2014-06-27T20:36:21+01:00,2014-06-27T20:39:51+01:00,210
27/06/14,move,walking,2014-06-27T20:39:51+01:00,2014-06-27T20:45:26+01:00,335
27/06/14,place,Place in London Borough of Enfield,2014-06-27T20:45:26+01:00,2014-06-28T00:00:00+01:00,11674
28/06/14,place,Place in London Borough of Enfield,2014-06-28T00:00:00+01:00,2014-06-28T15:03:18+01:00,54198
28/06/14,place,Place in London Borough of Enfield,2014-06-28T22:16:46+01:00,2014-06-29T00:00:00+01:00,6194
29/06/14,place,Place in London Borough of Enfield,2014-06-29T00:00:00+01:00,2014-06-29T01:33:38+01:00,5618
29/06/14,place,Place in London Borough of Enfield,2014-06-29T13:04:24+01:00,2014-06-29T23:42:47+01:00,38303
30/06/14,place,Place in London Borough of Enfield,2014-06-30T06:43:27+01:00,2014-06-30T07:53:52+01:00,4225
30/06/14,place,Place in London Borough of Enfield,2014-06-30T10:58:55+01:00,2014-06-30T20:58:06+01:00,35951
30/06/14,place,Place in London Borough of Enfield,2014-06-30T22:46:17+01:00,2014-07-01T00:00:00+01:00,4423
