Date,Type,Name,Start,End,Duration
04/06/14,place,Place in Washington Dulles International Airport,2014-06-04T00:22:00+01:00,2014-06-04T03:04:24+01:00,9744
04/06/14,place,Place in Washington Dulles International Airport,2014-06-04T03:04:24+01:00,2014-06-04T03:17:15+01:00,771
04/06/14,move,airplane,2014-06-04T03:17:16+01:00,2014-06-04T10:55:22+01:00,27486
04/06/14,move,walking,2014-06-04T11:12:10+01:00,2014-06-04T11:16:39+01:00,269
04/06/14,place,Place in --,2014-06-04T11:16:39+01:00,2014-06-04T11:27:29+01:00,650
04/06/14,move,walking,2014-06-04T11:27:29+01:00,2014-06-04T11:32:11+01:00,282
04/06/14,move,walking,2014-06-04T11:39:41+01:00,2014-06-04T11:41:41+01:00,120
04/06/14,move,transport,2014-06-04T11:41:41+01:00,2014-06-04T13:45:00+01:00,7399
04/06/14,move,walking,2014-06-04T13:44:59+01:00,2014-06-04T13:49:33+01:00,274
04/06/14,place,Place in London Borough of Enfield,2014-06-04T13:49:33+01:00,2014-06-05T00:00:00+01:00,36627
05/06/14,place,Place in London Borough of Enfield,2014-06-05T00:00:00+01:00,2014-06-05T00:06:32+01:00,392
05/06/14,place,Place in London Borough of Enfield,2014-06-05T01:07:02+01:00,2014-06-05T21:28:17+01:00,73275
06/06/14,place,Place in London Borough of Hackney,2014-06-06T08:43:23+01:00,2014-06-06T08:52:13+01:00,530
06/06/14,move,walking,2014-06-06T08:52:14+01:00,2014-06-06T08:57:49+01:00,335
06/06/14,place,Place in London Borough of Hackney,2014-06-06T08:57:49+01:00,2014-06-06T09:12:22+01:00,873
06/06/14,move,walking,2014-06-06T09:12:22+01:00,2014-06-06T09:31:18+01:00,1136
06/06/14,place,Place in London Congestion Charge,2014-06-06T09:31:18+01:00,2014-06-06T09:36:57+01:00,339
06/06/14,move,walking,2014-06-06T09:36:57+01:00,2014-06-06T09:44:01+01:00,424
06/06/14,place,Place in London Congestion Charge,2014-06-06T09:44:01+01:00,2014-06-06T09:48:25+01:00,264
06/06/14,move,walking,2014-06-06T09:48:25+01:00,2014-06-06T10:00:04+01:00,699
06/06/14,place,Place in London Congestion Charge,2014-06-06T10:00:04+01:00,2014-06-06T10:03:20+01:00,196
06/06/14,move,walking,2014-06-06T10:03:20+01:00,2014-06-06T10:07:12+01:00,232
06/06/14,place,Place in London Congestion Charge,2014-06-06T10:07:12+01:00,2014-06-06T11:06:33+01:00,3561
06/06/14,move,walking,2014-06-06T11:06:33+01:00,2014-06-06T11:20:02+01:00,809
06/06/14,place,Place in Percival Street Estate,2014-06-06T11:20:02+01:00,2014-06-06T13:01:39+01:00,6097
06/06/14,move,walking,2014-06-06T13:01:39+01:00,2014-06-06T13:15:01+01:00,802
06/06/14,place,Place in London Congestion Charge,2014-06-06T13:15:01+01:00,2014-06-06T18:05:26+01:00,17425
06/06/14,move,walking,2014-06-06T18:05:26+01:00,2014-06-06T18:12:10+01:00,404
06/06/14,move,transport,2014-06-06T18:12:10+01:00,2014-06-06T18:18:40+01:00,390
06/06/14,move,walking,2014-06-06T18:18:40+01:00,2014-06-06T18:22:33+01:00,233
06/06/14,place,Place in London Congestion Charge,2014-06-06T18:22:34+01:00,2014-06-06T18:28:27+01:00,353
06/06/14,move,transport,2014-06-06T18:28:27+01:00,2014-06-06T18:49:47+01:00,1280
06/06/14,move,walking,2014-06-06T18:49:47+01:00,2014-06-06T18:52:49+01:00,182
06/06/14,move,transport,2014-06-06T18:52:48+01:00,2014-06-06T18:55:18+01:00,150
06/06/14,move,walking,2014-06-06T18:55:18+01:00,2014-06-06T18:58:34+01:00,196
06/06/14,move,walking,2014-06-06T18:58:34+01:00,2014-06-06T18:59:34+01:00,60
06/06/14,place,Place in London Borough of Enfield,2014-06-06T18:59:34+01:00,2014-06-07T00:00:00+01:00,18026
07/06/14,place,Place in London Borough of Enfield,2014-06-07T00:00:00+01:00,2014-06-07T13:36:53+01:00,49013
08/06/14,place,Place in London Borough of Enfield,2014-06-08T10:54:47+01:00,2014-06-08T10:58:30+01:00,223
08/06/14,move,walking,2014-06-08T10:58:30+01:00,2014-06-08T11:17:42+01:00,1152
08/06/14,place,Place in London Borough of Enfield,2014-06-08T11:17:42+01:00,2014-06-08T11:20:42+01:00,180
08/06/14,move,walking,2014-06-08T11:20:42+01:00,2014-06-08T11:25:16+01:00,274
08/06/14,place,Place in London Borough of Enfield,2014-06-08T11:25:16+01:00,2014-06-08T11:31:02+01:00,346
08/06/14,move,walking,2014-06-08T11:31:02+01:00,2014-06-08T11:50:25+01:00,1163
08/06/14,place,Place in London Borough of Enfield,2014-06-08T11:50:25+01:00,2014-06-08T11:53:25+01:00,180
08/06/14,place,Place in London Borough of Enfield,2014-06-08T11:53:55+01:00,2014-06-08T14:56:33+01:00,10958
08/06/14,move,transport,2014-06-08T14:56:33+01:00,2014-06-08T15:53:04+01:00,3391
08/06/14,place,Place in London Borough of Harrow,2014-06-08T15:53:04+01:00,2014-06-08T16:54:17+01:00,3673
08/06/14,move,transport,2014-06-08T16:54:17+01:00,2014-06-08T16:59:05+01:00,288
08/06/14,place,Place in London Borough of Harrow,2014-06-08T16:59:05+01:00,2014-06-08T17:27:41+01:00,1716
08/06/14,move,transport,2014-06-08T17:27:41+01:00,2014-06-08T17:40:52+01:00,791
08/06/14,place,Place in London Borough of Harrow,2014-06-08T17:40:52+01:00,2014-06-08T18:55:26+01:00,4474
08/06/14,move,transport,2014-06-08T18:55:26+01:00,2014-06-08T19:35:04+01:00,2378
08/06/14,place,Place in London Borough of Enfield,2014-06-08T19:35:03+01:00,2014-06-08T22:24:32+01:00,10169
10/06/14,move,walking,2014-06-10T07:23:36+01:00,2014-06-10T07:25:21+01:00,105
10/06/14,place,Place in London Borough of Enfield,2014-06-10T07:25:22+01:00,2014-06-10T07:32:38+01:00,436
10/06/14,move,transport,2014-06-10T07:32:38+01:00,2014-06-10T07:38:22+01:00,344
10/06/14,move,walking,2014-06-10T07:38:21+01:00,2014-06-10T07:44:51+01:00,390
10/06/14,move,transport,2014-06-10T07:44:52+01:00,2014-06-10T08:09:00+01:00,1448
10/06/14,move,walking,2014-06-10T08:08:59+01:00,2014-06-10T08:11:29+01:00,150
10/06/14,move,transport,2014-06-10T08:11:29+01:00,2014-06-10T08:22:59+01:00,690
10/06/14,move,walking,2014-06-10T08:23:00+01:00,2014-06-10T08:34:06+01:00,666
10/06/14,place,Place in London Congestion Charge,2014-06-10T08:34:06+01:00,2014-06-10T09:32:02+01:00,3476
10/06/14,move,walking,2014-06-10T09:32:02+01:00,2014-06-10T09:35:13+01:00,191
10/06/14,move,transport,2014-06-10T09:35:14+01:00,2014-06-10T09:40:14+01:00,300
10/06/14,move,walking,2014-06-10T09:40:14+01:00,2014-06-10T09:44:32+01:00,258
10/06/14,place,Place in London Congestion Charge,2014-06-10T09:44:32+01:00,2014-06-10T12:24:19+01:00,9587
10/06/14,move,walking,2014-06-10T12:24:19+01:00,2014-06-10T12:44:19+01:00,1200
10/06/14,place,Place in London Congestion Charge,2014-06-10T12:44:19+01:00,2014-06-10T12:50:58+01:00,399
10/06/14,move,walking,2014-06-10T12:50:58+01:00,2014-06-10T13:06:27+01:00,929
10/06/14,place,Place in London Congestion Charge,2014-06-10T13:06:27+01:00,2014-06-10T13:10:24+01:00,237
10/06/14,move,walking,2014-06-10T13:10:24+01:00,2014-06-10T13:24:34+01:00,850
10/06/14,place,Place in London Congestion Charge,2014-06-10T13:24:34+01:00,2014-06-10T13:36:45+01:00,731
10/06/14,move,walking,2014-06-10T13:36:45+01:00,2014-06-10T13:48:26+01:00,701
10/06/14,place,Place in London Congestion Charge,2014-06-10T13:48:26+01:00,2014-06-10T16:23:10+01:00,9284
10/06/14,move,walking,2014-06-10T16:23:10+01:00,2014-06-10T16:38:32+01:00,922
10/06/14,place,Place in London Congestion Charge,2014-06-10T16:38:32+01:00,2014-06-10T17:56:57+01:00,4705
10/06/14,move,walking,2014-06-10T17:56:57+01:00,2014-06-10T18:03:06+01:00,369
10/06/14,place,Place in London Congestion Charge,2014-06-10T18:03:06+01:00,2014-06-10T18:07:52+01:00,286
10/06/14,move,transport,2014-06-10T18:07:52+01:00,2014-06-10T18:12:31+01:00,279
10/06/14,move,walking,2014-06-10T18:12:31+01:00,2014-06-10T18:16:43+01:00,252
10/06/14,place,Place in London Congestion Charge,2014-06-10T18:16:43+01:00,2014-06-10T18:41:21+01:00,1478
10/06/14,move,walking,2014-06-10T18:41:21+01:00,2014-06-10T18:45:09+01:00,228
10/06/14,move,transport,2014-06-10T18:45:08+01:00,2014-06-10T19:16:24+01:00,1876
10/06/14,move,walking,2014-06-10T19:16:23+01:00,2014-06-10T19:18:48+01:00,145
10/06/14,place,Place in London Borough of Enfield,2014-06-10T19:18:48+01:00,2014-06-10T19:20:51+01:00,123
10/06/14,move,walking,2014-06-10T19:20:51+01:00,2014-06-10T19:39:18+01:00,1107
10/06/14,place,Place in London Borough of Enfield,2014-06-10T19:39:18+01:00,2014-06-10T20:16:31+01:00,2233
11/06/14,place,Place in London Borough of Enfield,2014-06-11T13:49:07+01:00,2014-06-11T23:27:08+01:00,34681
12/06/14,place,Place in London Borough of Enfield,2014-06-12T08:36:19+01:00,2014-06-12T22:16:30+01:00,49211
13/06/14,place,Place in London Borough of Enfield,2014-06-13T06:29:23+01:00,2014-06-13T07:32:14+01:00,3771
13/06/14,move,walking,2014-06-13T07:32:14+01:00,2014-06-13T07:35:05+01:00,171
13/06/14,move,transport,2014-06-13T07:35:04+01:00,2014-06-13T07:39:34+01:00,270
13/06/14,move,walking,2014-06-13T07:39:34+01:00,2014-06-13T07:44:04+01:00,270
13/06/14,move,transport,2014-06-13T07:44:05+01:00,2014-06-13T08:15:16+01:00,1871
13/06/14,move,walking,2014-06-13T08:15:15+01:00,2014-06-13T08:20:45+01:00,330
13/06/14,move,transport,2014-06-13T08:20:46+01:00,2014-06-13T08:27:44+01:00,418
13/06/14,place,Place in London Congestion Charge,2014-06-13T08:27:44+01:00,2014-06-13T08:36:44+01:00,540
13/06/14,move,transport,2014-06-13T08:36:44+01:00,2014-06-13T08:51:47+01:00,903
13/06/14,move,walking,2014-06-13T08:51:47+01:00,2014-06-13T08:57:23+01:00,336
13/06/14,move,walking,2014-06-13T08:57:24+01:00,2014-06-13T08:57:48+01:00,24
13/06/14,place,Place in The Maudsley Hospital,2014-06-13T08:58:42+01:00,2014-06-13T10:34:56+01:00,5774
13/06/14,place,Place in Brunswick Park,2014-06-13T10:34:57+01:00,2014-06-13T10:53:47+01:00,1130
13/06/14,move,transport,2014-06-13T10:53:47+01:00,2014-06-13T11:10:21+01:00,994
13/06/14,move,walking,2014-06-13T11:10:20+01:00,2014-06-13T11:21:22+01:00,662
13/06/14,place,Place in London Congestion Charge,2014-06-13T11:21:22+01:00,2014-06-13T11:23:40+01:00,138
13/06/14,move,walking,2014-06-13T11:23:40+01:00,2014-06-13T11:28:49+01:00,309
13/06/14,place,Place in London Congestion Charge,2014-06-13T11:28:49+01:00,2014-06-13T12:26:59+01:00,3490
13/06/14,move,walking,2014-06-13T12:26:59+01:00,2014-06-13T12:45:24+01:00,1105
13/06/14,place,Place in London Congestion Charge,2014-06-13T12:45:24+01:00,2014-06-13T13:55:44+01:00,4220
13/06/14,move,walking,2014-06-13T13:55:44+01:00,2014-06-13T14:02:35+01:00,411
13/06/14,place,Place in London Congestion Charge,2014-06-13T14:02:34+01:00,2014-06-13T14:06:50+01:00,256
13/06/14,move,walking,2014-06-13T14:06:50+01:00,2014-06-13T14:21:34+01:00,884
13/06/14,place,Place in London Congestion Charge,2014-06-13T14:21:34+01:00,2014-06-13T18:02:42+01:00,13268
13/06/14,move,walking,2014-06-13T18:02:42+01:00,2014-06-13T18:06:31+01:00,229
13/06/14,move,transport,2014-06-13T18:06:30+01:00,2014-06-13T18:48:08+01:00,2498
13/06/14,move,walking,2014-06-13T18:48:08+01:00,2014-06-13T18:51:08+01:00,180
13/06/14,move,transport,2014-06-13T18:51:08+01:00,2014-06-13T18:55:38+01:00,270
13/06/14,move,walking,2014-06-13T18:55:38+01:00,2014-06-13T19:00:39+01:00,301
13/06/14,place,Place in London Borough of Enfield,2014-06-13T19:00:39+01:00,2014-06-14T00:00:00+01:00,17961
14/06/14,place,Place in London Borough of Enfield,2014-06-14T00:00:00+01:00,2014-06-14T00:13:07+01:00,787
14/06/14,place,Place in London Borough of Enfield,2014-06-14T00:54:08+01:00,2014-06-14T05:45:19+01:00,17471
14/06/14,move,transport,2014-06-14T05:45:19+01:00,2014-06-14T06:47:40+01:00,3741
14/06/14,move,walking,2014-06-14T06:47:39+01:00,2014-06-14T06:51:13+01:00,214
14/06/14,place,Place in Parliament Square,2014-06-14T06:51:14+01:00,2014-06-14T06:54:36+01:00,202
14/06/14,move,walking,2014-06-14T06:54:36+01:00,2014-06-14T07:12:11+01:00,1055
14/06/14,place,Place in London Congestion Charge,2014-06-14T07:12:10+01:00,2014-06-14T07:17:17+01:00,307
14/06/14,move,walking,2014-06-14T07:17:17+01:00,2014-06-14T07:24:13+01:00,416
14/06/14,move,transport,2014-06-14T07:24:13+01:00,2014-06-14T07:36:50+01:00,757
14/06/14,place,Place in London Congestion Charge,2014-06-14T07:36:50+01:00,2014-06-14T07:52:42+01:00,952
14/06/14,move,transport,2014-06-14T07:52:42+01:00,2014-06-14T08:33:00+01:00,2418
14/06/14,place,Place in London Borough of Enfield,2014-06-14T08:33:00+01:00,2014-06-14T08:42:21+01:00,561
14/06/14,move,transport,2014-06-14T08:42:21+01:00,2014-06-14T08:49:52+01:00,451
14/06/14,place,Place in London Borough of Enfield,2014-06-14T08:49:52+01:00,2014-06-14T14:13:20+01:00,19408
15/06/14,place,Place in London Borough of Enfield,2014-06-15T07:51:34+01:00,2014-06-15T16:00:48+01:00,29354
16/06/14,place,Place in London Borough of Enfield,2014-06-16T08:52:53+01:00,2014-06-17T00:00:00+01:00,54427
17/06/14,place,Place in London Borough of Enfield,2014-06-17T00:00:00+01:00,2014-06-17T07:26:10+01:00,26770
17/06/14,move,walking,2014-06-17T07:26:10+01:00,2014-06-17T07:30:47+01:00,277
17/06/14,place,Place in London Borough of Enfield,2014-06-17T07:30:47+01:00,2014-06-17T07:42:09+01:00,682
17/06/14,move,transport,2014-06-17T07:42:09+01:00,2014-06-17T07:44:41+01:00,152
17/06/14,move,walking,2014-06-17T07:44:41+01:00,2014-06-17T07:47:41+01:00,180
17/06/14,move,transport,2014-06-17T07:47:41+01:00,2014-06-17T08:08:55+01:00,1274
17/06/14,move,walking,2014-06-17T08:08:54+01:00,2014-06-17T08:14:24+01:00,330
17/06/14,move,transport,2014-06-17T08:14:24+01:00,2014-06-17T08:44:31+01:00,1807
17/06/14,move,walking,2014-06-17T08:44:31+01:00,2014-06-17T08:49:31+01:00,300
17/06/14,move,transport,2014-06-17T08:49:31+01:00,2014-06-17T09:02:21+01:00,770
17/06/14,move,transport,2014-06-17T09:38:09+01:00,2014-06-17T09:48:23+01:00,614
17/06/14,move,walking,2014-06-17T09:48:22+01:00,2014-06-17T09:53:54+01:00,332
17/06/14,place,Place in Berkshire,2014-06-17T09:53:55+01:00,2014-06-17T13:31:13+01:00,13038
17/06/14,move,walking,2014-06-17T13:31:13+01:00,2014-06-17T13:36:43+01:00,330
17/06/14,place,Place in Berkshire,2014-06-17T13:36:43+01:00,2014-06-17T14:18:23+01:00,2500
17/06/14,move,walking,2014-06-17T14:18:23+01:00,2014-06-17T14:23:10+01:00,287
17/06/14,place,Place in Berkshire,2014-06-17T14:23:10+01:00,2014-06-18T00:00:00+01:00,34610
18/06/14,place,Place in Berkshire,2014-06-18T00:00:00+01:00,2014-06-18T00:06:11+01:00,371
18/06/14,move,transport,2014-06-18T10:36:58+01:00,2014-06-18T10:52:09+01:00,911
18/06/14,move,walking,2014-06-18T10:52:09+01:00,2014-06-18T10:55:40+01:00,211
18/06/14,place,Place in Berkshire,2014-06-18T10:55:40+01:00,2014-06-18T11:15:53+01:00,1213
18/06/14,move,transport,2014-06-18T11:15:53+01:00,2014-06-18T11:43:48+01:00,1675
18/06/14,move,walking,2014-06-18T11:43:48+01:00,2014-06-18T11:48:18+01:00,270
18/06/14,move,transport,2014-06-18T11:48:18+01:00,2014-06-18T12:10:23+01:00,1325
18/06/14,move,walking,2014-06-18T12:10:22+01:00,2014-06-18T12:14:52+01:00,270
18/06/14,move,transport,2014-06-18T12:14:52+01:00,2014-06-18T12:52:52+01:00,2280
18/06/14,place,Place in London Congestion Charge,2014-06-18T12:52:53+01:00,2014-06-18T16:19:37+01:00,12404
